english,description,translation,status,translator_note,placeholders,entry_id,row_id,kind,previous_translation,source_locations,source_revision
Warrior,"[card] Character subtype name.

Paths: AffiliationCatalog.affiliations.AffiliationDefinition.atlas_card_theme; FigmentDefinition.name",,missing,,,tx1_ml4i7dk3sg6aahbssox7f5kzam,row1_tf7vsgt3k4uf4tnkdlcp6tcemy,message,,data/affiliations.ron:65:25; data/figments.ron:7:11; src/runtime/localization/runtime-templates.generated.ts:72:14,rev1_5dd701b66124840bf8653c4d651c05e16a1b9522d3788b5453a17ef8851661af
Abandon,Paths: AffiliationCatalog.affiliations.AffiliationDefinition.atlas_card_theme; AffiliationCatalog.affiliations.AffiliationDefinition.name; GlossaryDefinition.term,,missing,,,tx1_3ahih37q3bge2n4fodfjqmvlhi,row1_vuafdv6jj75uro3nnv6kawuxyq,message,,data/affiliations.ron:75:13; data/affiliations.ron:76:25; data/glossary.ron:107:11,rev1_34b03bc7228501a0602ec17963bd7faa6adb610abbda1b19a49955b5d434cac3
Survivors,Path: AffiliationCatalog.affiliations.AffiliationDefinition.name,,missing,,,tx1_xqnngwzlurvvqqn5d3hvk73r5i,row1_pkphr6co6x4pfhdsdwotpywipe,message,,data/affiliations.ron:86:13,rev1_3565ac652d8eb119581ac6c48cfb34b1fd3dc2bcd17cf42368cfa624d9149cff
Survivor,"[card] Character subtype name.

Paths: AffiliationCatalog.affiliations.AffiliationDefinition.atlas_card_theme; FigmentDefinition.name",,missing,,,tx1_owdpriudabb4o3dprcukwmbanm,row1_tvx5rld7fagxysdkxjqb4wg6vy,message,,data/affiliations.ron:87:25; data/figments.ron:48:11; src/runtime/localization/runtime-templates.generated.ts:56:14,rev1_6718739f474634b55b7f6410db54a5c459e376ad999c79598d7fcc34952c4d3b
Figments,Path: AffiliationCatalog.affiliations.AffiliationDefinition.name,,missing,,,tx1_vgqqivdejzc2zcjpzrltjbfria,row1_ywjb2lx3vds3lm2y4bs5zpx35i,message,,data/affiliations.ron:97:13,rev1_546b90f2e78c6d2064e989e239f7174afbb344c00a834b3b71af07fc360ba6a7
Figment,"[battle] Fallback name for a generated battle Figment whose card definition is unavailable.

Paths: AffiliationCatalog.affiliations.AffiliationDefinition.atlas_card_theme; GlossaryDefinition.term",,missing,,,tx1_m2rg5yx5fedima6jkeaxmyr7dq,row1_6lppt3zmjmydrn5ps5ddimngze,message,,data/affiliations.ron:98:25; data/glossary.ron:8:11; src/battle/components/PlayableBattleScreen.tsx:500:17,rev1_efc66ea6b24dda8fa34d9289f9fd76ba0772b595464ad7b8557dccbde77e92b1
Discard,Paths: AffiliationCatalog.affiliations.AffiliationDefinition.atlas_card_theme; AffiliationCatalog.affiliations.AffiliationDefinition.name,,missing,,,tx1_k533khwnmgk6mbeuw6ici4ww5m,row1_lp5lu6mjpajgstuerzy2adz7qe,message,,data/affiliations.ron:108:13; data/affiliations.ron:109:25,rev1_c621e37b28a2741e1877ae55c0363f43c4a5374f706fe54cf01c5a77cca2d8e3
"Apollyon, the World's End",Path: ApollyonIncarnation.title,,missing,,,tx1_zylylal7orxq3cqwrveehlbmna,row1_qcrzsls75mdxyirksodp23ikhm,message,,data/apollyon_incarnations.ron:8:12,rev1_063ac00d26ddda733dd70240078faedbf59c17e38038dd12ea80ab7a135044ea
"Apollyon has the Aspect of Ravening: Spirit animals multiply, then rise as one devouring chorus.",Path: ApollyonIncarnation.description,,missing,,,tx1_gqbzozoyxynljghzey5cywryxu,row1_dhmfzwm46pug7scyavx55sofi4,message,,data/apollyon_incarnations.ron:9:18,rev1_d2fd9676b2dd0e6116fd82058b6d3b4413e314eb1442a8e4f5ec9feaabc39d38
Spirit Animal Flood,Path: ApollyonIncarnation.deck_archetype,,missing,,,tx1_gyf4cu64qtkeoi4z3mmblxcdxu,row1_hxll6gpxlan7w3hlmivrska6uy,message,,data/apollyon_incarnations.ron:12:21,rev1_9fa9c6139d032114bf640a68718c71c1dfb8ecdce31b24431d025581578f7d44
"Apollyon, the End of Causality",Path: ApollyonIncarnation.title,,missing,,,tx1_mqe7632i2fampu6nlx4eepatau,row1_r455al3ucs6w7m3uqcgqfjhwlm,message,,data/apollyon_incarnations.ron:17:12,rev1_adfdb4952f314d669c810c980876ef2a8cad258798a2bec2c6547d5825f8cd8f
"Apollyon has the Aspect of Catastrophe: Each event births another, portents of the coming storm.",Path: ApollyonIncarnation.description,,missing,,,tx1_tn3oolgqff3gi47ee5qpsfeymm,row1_z7daqgtmdpqn5foo7wtyca5nzy,message,,data/apollyon_incarnations.ron:18:18,rev1_b49b0670c9bb7ebbb10ea4d613fab24e93a59309d545ff3e59f93a76fcdaa521
Event Chain/Storm,Path: ApollyonIncarnation.deck_archetype,,missing,,,tx1_c2upy3w34vto2htyhlvyj2ze3m,row1_nbabblp65yzbzn7ibhi2vtpakm,message,,data/apollyon_incarnations.ron:21:21,rev1_62e48fc23d4ddc18f6d00efa1ecec8302357235e4b8589d38014716f8a8b23b3
"Apollyon, the Doom of Humanity",Paths: ApollyonIncarnation.title; AtlasCatalog.boss.fallback_title,,missing,,,tx1_gzmwoliberqnxohxfuc6lz3f2y,row1_7flizuthozm7m2dthzp5bjqwim,message,,data/apollyon_incarnations.ron:26:12; data/atlas.ron:159:21,rev1_3cf093ed8acedb285939bd52e5a9d68c318d713753e6fc23c20438899456e9a6
Apollyon has the Aspect of Slaughter: Warriors gather in ranks and strike before mercy.,Path: ApollyonIncarnation.description,,missing,,,tx1_nwmkpnig67p4fxe44qz5oygz5u,row1_w3jq4vonantxiye5cevbjnjbmi,message,,data/apollyon_incarnations.ron:27:18,rev1_222674c459f308040d939a84fbcd5ae594434f687e48285e2b4f5282d2c09c0b
Warrior Support Aggro,Path: ApollyonIncarnation.deck_archetype,,missing,,,tx1_somd4tfv6w7pkjmlzfvi5vc6kq,row1_csshfaw6n6jtgivprf6ucuaaoa,message,,data/apollyon_incarnations.ron:30:21,rev1_019db98e88edbc3d18a2dee2e6516ad4e638d78a5aea517b2bf9bd0043673ed3
"Apollyon, the Butcher",Path: ApollyonIncarnation.title,,missing,,,tx1_fxl3hv6z7xijzvy6own2n3a2oi,row1_d573zla4jalt57aitpmehgw7pi,message,,data/apollyon_incarnations.ron:35:12,rev1_897234415a8d82795f231cd0ba78f601bec7da5490d81dce52a2230c3181f50c
Apollyon has the Aspect of Hunger: Every sacrifice feeds the survivors.,Path: ApollyonIncarnation.description,,missing,,,tx1_qoeksqkxrd2zpbsxxa6bp63eya,row1_nitbaschorpwymlpyygywr2jpe,message,,data/apollyon_incarnations.ron:36:18,rev1_89b47c70ffa286e109047a13a14dc654a3dcc8c0fe0efbdcebdaa1c3a2a9ffcf
Abandon/Survivor Replenishment,Path: ApollyonIncarnation.deck_archetype,,missing,,,tx1_j6la5gujnpu7bmqcry27tfbx3y,row1_sqgsxmarcp4bj6245vhcwa3pvu,message,,data/apollyon_incarnations.ron:37:21,rev1_9bfedb4f0f237474b1bf9452b42bde8b3e1649cbf05f59cb983b8ab842427478
"Apollyon, the Last Word",Path: ApollyonIncarnation.title,,missing,,,tx1_x7un6h3uzvrafnfpdberig7aum,row1_zrd43ih6rdbdols4x4im72k7im,message,,data/apollyon_incarnations.ron:42:12,rev1_7aaa8787d1d6eab64f82eea329caddf76d1e3a119b2145645e2a8558717d5227
Apollyon has the Aspect of Haunting: An ethereal host returns endlessly.,Path: ApollyonIncarnation.description,,missing,,,tx1_itfpfosj2itfcrfum2elh5zi4e,row1_az5cufmhdnshim3loqdpuit5ke,message,,data/apollyon_incarnations.ron:43:18,rev1_e142fa4a58e7b93e2824354aff5db9ad0c3a7feaa94fb6ca63c49b3b546fa0d3
Cheap-Character Recursion,Path: ApollyonIncarnation.deck_archetype,,missing,,,tx1_k2klmn2fkmevkmq6y6xunynapq,row1_shg75gr75zm6ktmetjstp5us5a,message,,data/apollyon_incarnations.ron:44:21,rev1_ed221e810b333449502e94d8da552de61220896935dfc0ed8cd67c02d076e047
"Apollyon, the Broken Cycle",Path: ApollyonIncarnation.title,,missing,,,tx1_42jne5map6kxvazegynaqkubd4,row1_k3fiqncfrxnvqhcxnzwdca7vvy,message,,data/apollyon_incarnations.ron:49:12,rev1_9a408a33f25d345a91c82e06614591100fc8490af3e22552f8cd4d15ba4c5ed8
Apollyon has the Aspect of Damnation: Broken souls wind through death's river.,Path: ApollyonIncarnation.description,,missing,,,tx1_x37g6omlebclmmwnterot5hzim,row1_j2r4mfw7vlblniralhqtksqzwa,message,,data/apollyon_incarnations.ron:50:18,rev1_57b4ffde17600cf425c0cf0a4b8621cb9f85d11cc0af6f83b48b28ea0b7949d4
Reclaim Loop,Path: ApollyonIncarnation.deck_archetype,,missing,,,tx1_rbh3jgesp7zlom2fduuowsgp44,row1_ojq5ozv7sbsb43up2syndvnkga,message,,data/apollyon_incarnations.ron:53:21,rev1_3e0f6f8602c2d4e8046c871927780097016a80bad9e8e20aa81b5eaa9a6b2904
"Apollyon, the Keeper of Names",Path: ApollyonIncarnation.title,,missing,,,tx1_3hgzyxxj6phlpdpxqcv7nce6e4,row1_gso27r432jccgm3xpruvxtr3xq,message,,data/apollyon_incarnations.ron:58:12,rev1_ca718e0dafc81598941f4dbbd7f74b71b1293ca30b2d7c3f927edba63deb4df8
Apollyon has the Aspect of Suffering: The discarded become omens of the coming calamity.,Path: ApollyonIncarnation.description,,missing,,,tx1_7vzldke57ms7piub4b35jfymga,row1_6enoh3rtlql6rqeoj5sfjyxajq,message,,data/apollyon_incarnations.ron:59:18,rev1_ec0ce0d4db2c63b4717cdf13e7bd6021945a4cfae5d5c91785f4f82c9bb36303
Discard/Reclaim,Path: ApollyonIncarnation.deck_archetype,,missing,,,tx1_lalidymufcrwourflhv353nsgq,row1_fpae66lessiziqupodqklj7hsi,message,,data/apollyon_incarnations.ron:62:21,rev1_fa2ece6ae867838791a28ab2a81c9ef158a48b4c657544e792f056bb27553665
"Apollyon, Sovereign of the Void",Path: ApollyonIncarnation.title,,missing,,,tx1_vl6dzoqzm35g5otncs3hshqhle,row1_3ktwefwhfscnim5s26v46qjbni,message,,data/apollyon_incarnations.ron:67:12,rev1_fba2068062edfb227f752cfa7d75229aeabe7f17e197beb14d406ccacedca179
Apollyon has the Aspect of Oblivion: The onrushing void swells to infinity.,Path: ApollyonIncarnation.description,,missing,,,tx1_nj3r4kfdbizuymldnn7zqn4iva,row1_7c5twc4qndel5b7qk24imneh2y,message,,data/apollyon_incarnations.ron:68:18,rev1_0c27905a8788d54df0245abab4431d61b9070bed1a68f0a6a09a41fc7cda88ba
Void-Density Recursion,Path: ApollyonIncarnation.deck_archetype,,missing,,,tx1_yll2pe5nkrejbyczn7zr7pdfie,row1_6qprpotmft2esrlrhh5sd3j2ii,message,,data/apollyon_incarnations.ron:69:21,rev1_d20bce74908e2e9d452cda63366e1c41d8fbda063a17f70a253d13cfc5068c83
"Apollyon, the Unplaceable",Path: ApollyonIncarnation.title,,missing,,,tx1_rk37rbugqv6skirmehptrwzgra,row1_trg4zk2zo3ewbt5hn4xrko2ysa,message,,data/apollyon_incarnations.ron:74:12,rev1_0757942d09c9afd9880340cf0dcc578e3019429792b14bde3cd5fbdafe44bd7c
Apollyon has the Aspect of Violation: Striking with precision dissolves every blocker.,Path: ApollyonIncarnation.description,,missing,,,tx1_rm6xspbybchlz4rohr7zocaufy,row1_lk3xh37o3rq36qsvo7tw7kbnia,message,,data/apollyon_incarnations.ron:75:18,rev1_ecd870e759bd42c8508dac4c685cc40add6330b865c099c87b7fc253953a3176
Outsider Tempo,Path: ApollyonIncarnation.deck_archetype,,missing,,,tx1_lx5yxmynhtibltk3ea26lkx34a,row1_zzvhwdk53v3325sa22mblsfo6q,message,,data/apollyon_incarnations.ron:78:21,rev1_5b220537212ab48a42a4f7dae709008f982c8bac02ad6cf22a924c1d1dc4fb3d
"Apollyon, the Herald of Revelation",Path: ApollyonIncarnation.title,,missing,,,tx1_n6avyuontteyvtdd65nmixxsya,row1_mqc3enpxi3chtnfemfyaz7msn4,message,,data/apollyon_incarnations.ron:83:12,rev1_4ea8a20a6b218a1e5166641ff2ba252ef55cfcd4beb2347d54c4698db74cf244
Apollyon has the Aspect of Frenzy: Warriors awaken into the final rapture.,Path: ApollyonIncarnation.description,,missing,,,tx1_7jnzdhk3mpr4hcozlseer4diey,row1_sy7cdlpcsgwwg7qbrpqu5pkxce,message,,data/apollyon_incarnations.ron:84:18,rev1_2a265dbd910530a158bf0f6d76ca090b438bbed54296c3c39cc5dd5d8f31272f
Event/Awaken Warriors,Path: ApollyonIncarnation.deck_archetype,,missing,,,tx1_iqidawkhhkup26zbblfrpxjqxu,row1_gjutclqglmgsxpkitnpdrjrb44,message,,data/apollyon_incarnations.ron:85:21,rev1_a5b306531852e7f5f032e751b80ce4be35b09cd386e130991a119d4f88599c5d
Limbo,Paths: AtlasCatalog.boss.place; DreamscapeDefinition.name,,missing,,,tx1_eqwbbn6qoqvskybjvdjvemjxhi,row1_p7t2el3w65u6sfu2ujdkmm4niu,message,,data/atlas.ron:154:12; data/dreamscapes.ron:198:11,rev1_6fd54e32e7ee27cc75f351032bab6533882f7df360ae368370c91708e4a1578e
Apollyon,Path: AtlasCatalog.boss.name,,missing,,,tx1_gjgevckfjcw6wxkkyslq4hzqia,row1_oeqauey4hj4laccbpjlgis76pa,message,,data/atlas.ron:157:11,rev1_bb751bfc97684d1f92bd1ca6e2f74a1ef24c62c18088eaaef9faafc51aee3845
"An avatar of annihilating power — his own deck, dreamsigns, and abilities bend the dream toward ruin.",Path: AtlasCatalog.boss.fallback_introduction,,missing,,,tx1_zaon7z2vvwpr2ujzc5437hpxvi,row1_qpuwbjq72n3yrfrr4ifohsqpl4,message,,data/atlas.ron:160:28,rev1_5f3af886d8def6b98f848f42c24c28be9d7f13d05122d881da245fc13fdbb08f
Gain a Card,Path: AuguryCatalog.archetypes.AuguryArchetypeDefinition.presentation.headline.Text,,missing,,,tx1_lt5p72ehw6y2g5x3vtcamvc5rm,row1_spmetgmqg264dms7ulo7tsnox4,message,,data/augury.ron:28:24; data/augury.ron:73:24,rev1_51bc889280cb4403fb4c7b9e9488a3ee84d4074d85966870741347ddc878d810
Gain {card_name},Path: AuguryCatalog.archetypes.AuguryArchetypeDefinition.presentation.subtitle.Text,,missing,,card_name,tx1_y4skw25gdlxvam3ymmsn2f6kjy,row1_uulgkeezl2tw4nqbctbnx5d6ta,message,,data/augury.ron:29:24; data/augury.ron:74:24,rev1_bf09029c655569225f2aa9eb7ea91ff0cce9b830a836acd8df21d6843db8d3b1
Choose a Card,Paths: AuguryCatalog.archetypes.AuguryArchetypeDefinition.presentation.headline.Count.other; AuguryCatalog.archetypes.AuguryArchetypeDefinition.presentation.headline.Text,,missing,,,tx1_v5sbzfrzpc7a2u6vgf6uosulpi,row1_a3bjrcwobccjjoi2l4i5jb3cxq,message,,data/augury.ron:42:24; data/augury.ron:53:24; data/augury.ron:84:24; data/augury.ron:179:61,rev1_fbf4838df499bcf40bdc663f3281fe4fec0eb93fbf6085291ef8b9b39444b9b7
Choose a card to add to your deck.,Path: AuguryCatalog.archetypes.AuguryArchetypeDefinition.presentation.subtitle.Text,,missing,,,tx1_5hxdcdtuyy3yk2ykionyao72x4,row1_vmeh2bneq44hhu2u2pska6qr7m,message,,data/augury.ron:43:24,rev1_db1257263b5a408abb33d96a88c24d2d75398a6dd73de7a62317d024926d15df
Choose a card and add {count} copy of it to your deck.,Path: AuguryCatalog.archetypes.AuguryArchetypeDefinition.presentation.subtitle.Count.one,,missing,,count,tx1_2qytc2ugxju64k4zb4v43qeh7e,row1_6uz5znxrg74ct7wa2sgboz4syu,message,,data/augury.ron:55:16,rev1_d7015786f5e515e9775b6a831cde8251c8650e0246640dd78e36ff749d211f19
Choose a card and add {count} copies of it to your deck.,Path: AuguryCatalog.archetypes.AuguryArchetypeDefinition.presentation.subtitle.Count.other,,missing,,count,tx1_gm32gimiup3o5nca265ndjy7f4,row1_tfnubqyl6ymryaz45igbxjza3i,message,,data/augury.ron:59:18,rev1_740bc1b2f98286d7c28cf8f30e1fc644e1ccc4a23f9270ef0bc1efa68276a2f2
Choose a Character card to add to your deck.,Path: AuguryCatalog.archetypes.AuguryArchetypeDefinition.presentation.subtitle.Category.character,,missing,,,tx1_efxei7vlz6jp4zoukhnitlgcda,row1_3xubcige23zqoq6qhldzg5epgi,message,,data/augury.ron:86:22,rev1_c3d9594aa6293ccbd0182fde16ba697ae880faabd9b5be07704f02a655de6199
Choose an Event Card to add to your deck.,Path: AuguryCatalog.archetypes.AuguryArchetypeDefinition.presentation.subtitle.Category.event,,missing,,,tx1_dut2rcqfzjmrmyncaxvsbsox4a,row1_rxtbwyznirdoxgslqqchm5ok3e,message,,data/augury.ron:87:18,rev1_865b5ee417d7fff6ed9310d222f1aea8024ba53b30960d1b5cae06dcf940b098
Choose a cheap card to add to your deck.,Path: AuguryCatalog.archetypes.AuguryArchetypeDefinition.presentation.subtitle.Category.cheap,,missing,,,tx1_hit7maqjnmkieac7ceqb7mdcai,row1_ax7ccqnlwbqnfb73eiicyaaxhm,message,,data/augury.ron:88:18,rev1_beb63b95fa28d5cb87ef783475299f314abdd996eb11a46a5578174f914b9b8b
Choose a mid-cost card to add to your deck.,Path: AuguryCatalog.archetypes.AuguryArchetypeDefinition.presentation.subtitle.Category.mid_cost,,missing,,,tx1_zd7npqmkvwd6x4smseg2tcr4yi,row1_kg7i2gep3ppzz4sy3y2655sk4i,message,,data/augury.ron:89:21,rev1_1f6fc4d924150991df4d82a4ccaa35c26c431bf39074832e2dba39e6bb28aac0
Choose an expensive card to add to your deck.,Path: AuguryCatalog.archetypes.AuguryArchetypeDefinition.presentation.subtitle.Category.expensive,,missing,,,tx1_nzxqhf6ym7j7kkkbvm4qq7cx5u,row1_ei5nbtk4ljobyk2lfwtmqx5v3q,message,,data/augury.ron:90:22,rev1_efcdd22cf7220d2c833e717c9b79f0554e7b5f2e657a02244e8bc68da9712c8b
Choose a fast card to add to your deck.,Path: AuguryCatalog.archetypes.AuguryArchetypeDefinition.presentation.subtitle.Category.fast,,missing,,,tx1_dcbnhhmdj64nvco74zlaji5e5m,row1_bbqf2vtqyxtv5g6rgs5uxdpzam,message,,data/augury.ron:91:17,rev1_a95cb6bb802229e231cd12fb8353be94e2dc630ba35568e742ad21d8ad2fa0f3
Choose one {subtype_name} card to add to your deck.,"[augury] Offer detail directing the player to choose a card from one card subtype. subtype_name is the independently localized canonical subtype title, such as Spirit Animal. Translators may reposition the placeholder or restructure the sentence so the title remains grammatically independent.

Path: AuguryCatalog.archetypes.AuguryArchetypeDefinition.presentation.subtitle.Category.subtype",,missing,,subtype_name,tx1_5ndvi5giqa4gbtlv6ixerkgd2i,row1_smenzdbvqqxtx5vrrlo2rx3hxa,message,,data/augury.ron:92:20,rev1_9ffcac6b1ff7bd60feac4ae1ce5ffd5c4982cfe3f2b764305e91fe9617981bb2
Choose one card from the {package_reference} to add to your deck.,"[augury] Offer detail directing the player to choose a card from one authored tide package. package_reference is an independently localized grammatical reference authored for this sentence, such as Returning Legion package. Translators may reposition the placeholder or restructure the sentence.

Path: AuguryCatalog.archetypes.AuguryArchetypeDefinition.presentation.subtitle.Category.package",,missing,,package_reference,tx1_kexefyuediqcikaz6dekaktsim,row1_aqjpm6sein65fth4woqiit2bdi,message,,data/augury.ron:97:20,rev1_f6fd8d685d63669fbe8fde57c0be772a9cfe6afbbe720996a824a6c59c3790a5
Gain {count} Card,Path: AuguryCatalog.archetypes.AuguryArchetypeDefinition.presentation.headline.Count.one,,missing,,count,tx1_uz4ogbf5ydyjydtfbjbm5armli,row1_zvu3ww75utkreqzizp44rwz5za,message,,data/augury.ron:113:16,rev1_1cc5a3d894c71031efddb8d1d8185d6bcf0310d4f69699a2c2dfb27dcce07657
Gain {count} Cards,Path: AuguryCatalog.archetypes.AuguryArchetypeDefinition.presentation.headline.Count.other,,missing,,count,tx1_724d55jfdvi2eh7yl3wsxfrate,row1_r3lii42pucdmbrts4qju3jvnnm,message,,data/augury.ron:114:18,rev1_3b496173d2a0f5460a1595a6c1d7f75a3994f73479a47054ea6e9162bc80da34
Add {count} Card to your deck.,Path: AuguryCatalog.archetypes.AuguryArchetypeDefinition.presentation.subtitle.Count.one,,missing,,count,tx1_53dedwhy45an43nswu777ks3cm,row1_rhz6kegk5ifxx7xa5xybplq54q,message,,data/augury.ron:117:16,rev1_45df0a65566bf53dcbb81e0332e0cee7c434886fb139ef5c62368838266a41eb
Add {count} Cards to your deck.,Path: AuguryCatalog.archetypes.AuguryArchetypeDefinition.presentation.subtitle.Count.other,,missing,,count,tx1_kutnt2m2bqf6icv54hrhqd7h2m,row1_nbi44uvawesbacqfrejsqya4im,message,,data/augury.ron:118:18,rev1_6beecf9afc131a5d08d60d86f820af2eaa3b17bedf3cf076691dd0ee45dab736
Choose a Transfigured Card,Path: AuguryCatalog.archetypes.AuguryArchetypeDefinition.presentation.headline.Text,,missing,,,tx1_xlk2qqyltktblivddqd4lxt4za,row1_jgvwtghn4y5446demgbcs5pxse,message,,data/augury.ron:129:24,rev1_dc853339b4e122547d618682b167c12cdba78bcd8d231d3085bb034f6e2e8435
Choose a transfigured card to add to your deck.,Path: AuguryCatalog.archetypes.AuguryArchetypeDefinition.presentation.subtitle.Text,,missing,,,tx1_kjaagp3rfwljv55f44qblkcdq4,row1_3j3b2fbp55mlc7fabrxxqaaup4,message,,data/augury.ron:130:24,rev1_690ab8e745d6f1c447979271e07cc3456b3ad602ae5569bc30834d3e8e7c488c
Transfigure a Card,Path: AuguryCatalog.archetypes.AuguryArchetypeDefinition.presentation.headline.Text,,missing,,,tx1_fhutullurgeensjdn3v4rfd2hq,row1_jy3imuqvbl3ndlijjp6his6hfy,message,,data/augury.ron:140:24,rev1_1bcd3706c3e6a546b3145547dfca4aa92f272040a2d8a259d3abb53f966f3080
Transfigure {card_name},Paths: AuguryCatalog.archetypes.AuguryArchetypeDefinition.presentation.subtitle.Count.one; AuguryCatalog.archetypes.AuguryArchetypeDefinition.presentation.subtitle.Text,,missing,,card_name,tx1_bv6ptuegdqqgscnz2krqmatxmi,row1_ez62bljuigsljumnj4llmzpcvm,message,,data/augury.ron:141:24; data/augury.ron:153:16,rev1_fc6328522852ac10715aa0945f46cfc11cf9e0c5fec9a5b1540aebe5846a26a3
Transfigure Your Starters,Path: AuguryCatalog.archetypes.AuguryArchetypeDefinition.presentation.headline.Text,,missing,,,tx1_iafqwqbp2lktwx66dvnnkajqwy,row1_b7mqmx3pngstshnqevmtkljgj4,message,,data/augury.ron:151:24,rev1_dbd19498e0ce8f74e66ef5c264bccd967799753df3ed397be1be10f031c00631
Transfigure {first_card_name} and {second_card_name},Path: AuguryCatalog.archetypes.AuguryArchetypeDefinition.presentation.subtitle.Count.other,,missing,,first_card_name; second_card_name,tx1_mxclra3eujyqwdnxmdsbs2m56y,row1_qvpstwuu7mbmozmie4ahnewcf4,message,,data/augury.ron:154:18,rev1_8c818c71158fd3e872119131c79eacecce6342f3fc5ae7816122c8d55e00ac1d
Purge a Card,Path: AuguryCatalog.archetypes.AuguryArchetypeDefinition.presentation.headline.Text,,missing,,,tx1_lq5fjx6mxtm76oevuro4nu4dym,row1_ou2bf4bym4u635h6bwsxabw7m4,message,,data/augury.ron:168:24,rev1_61f777e4bb7039496e63a6ecdb9b18ad4ff51deefa5b4cc966073409079aeb01
