english,description,translation,conditions,status,translator_note,placeholders,entry_id,row_id,kind,previous_translation,source_locations,source_revision
Cost 5+,Compact visible Pool Viewer Energy-cost filter option that selects cards with a printed cost of five or more.,Cost 5+,,translated,,,tx1_e6u62uwlcpthyqrcnzouxcp6di,row1_eo4ez7yy5nsoof4gdvgn6d642m,message,,src/cumulus/screens/PoolViewerScreen.tsx:373:26,rev1_35490db33c844028ce7d91fe7def8d203735606d6d67737d84d073031dc44b6a
All subtypes,Visible Pool Viewer subtype option that clears the authored Character-subtype filter.,All subtypes,,translated,,,tx1_gdtlycntxllxzgbv74oqktnsr4,row1_5yuk2dumq3ncmfaaeew4eohyyi,message,,src/cumulus/screens/PoolViewerScreen.tsx:169:41,rev1_1256a10bf68bbcad160191f472a3e330c401cdccb07549f9d36d461f58082053
Name,Compact visible Pool Viewer sort-field option for authored card names.,Name,,translated,,,tx1_h5ja3chztkk4vrwz6revi7isj4,row1_l74j2eovxjc57hkibjt7aajj3m,message,,src/cumulus/screens/PoolViewerScreen.tsx:399:25,rev1_c431d58cc90d422c929303e678d6e3294c72fa8902a51da670562ff921894f38
Tide provenance,Visible title of the Pool Viewer disclosure explaining which Tides constructed the run pool.,Tide provenance,,translated,,,tx1_h5um6iezhlbidtffyszcheadsm,row1_4tvt7ljdjmgglxxl67tvgx5use,message,,src/cumulus/screens/PoolViewerScreen.tsx:201:17,rev1_ff29cb4e505d9511bf49f1b38a85054e8f63d57481c3ef67f8e39e0467d7cd77
Filter card cost,Accessible name for the Pool Viewer selector that filters cards by their Energy-cost category.,Filter card cost,,translated,,,tx1_hquitrgv43hx2dgyykrzozywri,row1_2zce2276azcwffl232whoqhtzi,message,,src/cumulus/screens/PoolViewerScreen.tsx:182:22,rev1_e7e07aeef9e5698549eb61b143c5df4f381d03cc33bdfe84a011369386751eb6
All,Compact visible Pool Viewer card-type filter label that keeps Character and Event cards.,All,,translated,,,tx1_ketar2basdmcx6y42h44zt5hwu,row1_effhjwhq62ckfhd37r5ofrgw4e,message,,src/cumulus/screens/PoolViewerScreen.tsx:334:24,rev1_5d3453ef21e57ee4a70d2db248a9f72748b0bb5f5ff89d39f5f512b8cc597b8e
Subtype,Compact visible Pool Viewer sort-field option for authored subtype.,Subtype,,translated,,,tx1_m3zqhvgu42czystfkm3ygfvfu4,row1_je7ppt36nlmypkvlg655b4suhi,message,,src/cumulus/screens/PoolViewerScreen.tsx:415:28,rev1_fab4a35d3489149ac8a734498ca2b471d343e002bf64dee140bc24b03699b57f
{visible_count} of {total_count} Cards,Visible Pool Viewer result-count subtitle. visible_count is the nonnegative safe-integer number remaining after filters and may be smaller than total_count. total_count is the nonnegative safe-integer size of the selected source before filters and governs Card number grammar; both numbers are visible.,{visible_count} of {total_count} Cards,view.totalCount.plural=other,translated,,total_count; visible_count,tx1_m6idluenyhv746mbrfu2nt2krq,row1_dmj2ltkllmtfvderj57rhw3aze,message,,src/cumulus/screens/PoolViewerScreen.tsx:254:21,rev1_8df205391d7546493c8efbe4787e9ca91850b1c344c2bcc4564a578ff3498fbb
{visible_count} of {total_count} Card,Visible Pool Viewer result-count subtitle. visible_count is the nonnegative safe-integer number remaining after filters and may be smaller than total_count. total_count is the nonnegative safe-integer size of the selected source before filters and governs Card number grammar; both numbers are visible.,{visible_count} of {total_count} Card,view.totalCount.plural=one,translated,,total_count; visible_count,tx1_m6idluenyhv746mbrfu2nt2krq,row1_4fupser4vmd4uchyp3kj3ttr64,message,,src/cumulus/screens/PoolViewerScreen.tsx:254:21,rev1_7eb5566ce49a4247776a0544df26a535206bc9576ec488428b9fd8d189262e31
Sort descending,Accessible command name for the compact Pool Viewer control that sorts in descending order.,Sort descending,,translated,,,tx1_mbbkp44x3ckctiu3xdenrkmsse,row1_xcvrkqbv54qfctgzwy24qz4gy4,message,,src/cumulus/screens/PoolViewerScreen.tsx:355:25,rev1_7fe0ecd93d27ff5f04a0ccec91c20bfb64ed2462e937ed2d6726b291faf20320
Algorithm: {algorithm_id},Visible Pool Viewer diagnostic summary naming the pool-construction algorithm. algorithm_id is a stable raw internal identifier such as tides4; translators may reorder it but the identifier itself remains unchanged.,Algorithm: {algorithm_id},,translated,,algorithm_id,tx1_narlte7ljcwprj2y3l6cknsmfm,row1_zthuv7om3asjskuuupx7yo2w2e,message,,src/cumulus/screens/PoolViewerScreen.tsx:220:17,rev1_c241ffdda05b19abd96ec1a89fe37639b336217cc9d458d823cb8ee59afe984f
Filter card subtype,Accessible name for the Pool Viewer selector that filters Character cards by their authored subtype.,Filter card subtype,,translated,,,tx1_nvpvk5chifrjcjbzvwmf766b3a,row1_lp4jxipmruie4rmm7xybgjdeaq,message,,src/cumulus/screens/PoolViewerScreen.tsx:165:22,rev1_82b797429c686899beb1c2df9733bdf7e092f13fb2fba993eff0b65b92bf2eae
Tide Decks,Visible Pool Viewer source-tab label for the Tide construction input.,Tide Decks,,translated,,,tx1_oiigbefop5p5hccrggos754hvy,row1_fxgfqmjx666pp32kdrc6dop4wm,message,,src/cumulus/screens/PoolViewerScreen.tsx:296:26,rev1_7a36020385f017bbf5e5bad3e62db716d71d316db382b87b9ecd6d00216352e1
Close pool viewer,Accessible command name for the button that closes the Pool Viewer overlay or floating panel.,Close pool viewer,,translated,,,tx1_omndecse7uq4cw4gq5sige2qui,row1_dxj5cgdhwvtygyrkxh7bvbhq2y,message,,src/cumulus/screens/PoolViewerScreen.tsx:262:87,rev1_984f52e11525cc152c382aabdc5d5450d39ff31194411bee9a5f8e21ec600b08
Cost,Compact visible Pool Viewer sort-field option for Energy cost.,Cost,,translated,,,tx1_pgbanqcqqbj2z6efkmoz32ecb4,row1_utcgvchmauer7wb6cne43jj32e,message,,src/cumulus/screens/PoolViewerScreen.tsx:407:25,rev1_e193c81ba85c000aed4eacfdd009ee1f897e0107b0fb1e284593920e375b2525
Events,Compact visible Pool Viewer card-type filter label that keeps Event cards.,Events,,translated,,,tx1_ps7r7pphnhevq7kq6p25kxzcdq,row1_oeeuzxdn7atezpnymsw7sydi3i,message,,src/cumulus/screens/PoolViewerScreen.tsx:342:26,rev1_26b3192dcd1d4893e23fb488e0394531c9703958e59d4e125be9567487d43cac
No run pool cards are available.,Visible Pool Viewer empty-state sentence for an empty current run pool.,No run pool cards are available.,,translated,,,tx1_rde3it73f6vb6wkviwxkdh63oa,row1_cgjbm2brgi3r4oqzkkb5mqlxti,message,,src/cumulus/screens/PoolViewerScreen.tsx:313:24,rev1_50026658ee3f2ec4b99f07bcbbba72fb3507d9538f15c69c0bc1017669c3ec2d
Spark,Compact visible Pool Viewer sort-field option for Spark.,Spark,,translated,,,tx1_spunpxnkek7uwm67ot73fic4ba,row1_ybqgg6lowr2tkw2otntzyka5du,message,,src/cumulus/screens/PoolViewerScreen.tsx:419:26,rev1_b32e384b6dc978753fa2a8c642f664c77c4032413970b17401f70302ac8d7126
Built to {deal_size} Cards with a per-card copy cap of {copy_cap}; {facet_drawn_count} of {facet_available_count} theme Tides were drawn.,Visible Pool Viewer diagnostic sentence describing a Tides-built pool. deal_size is the visible nonnegative safe-integer target pool size and governs Card number grammar. copy_cap is the visible nonnegative per-card maximum. facet_drawn_count and facet_available_count are separate visible nonnegative counts showing selected and available theme Tides; drawn can be zero and cannot exceed available.,Built to {deal_size} Cards with a per-card copy cap of {copy_cap}; {facet_drawn_count} of {facet_available_count} theme Tides were drawn.,disclosure.dealSize.plural=other,translated,,copy_cap; deal_size; facet_available_count; facet_drawn_count,tx1_ubavzvyps7o2i66qllw6p6gylm,row1_56xvgemlh6yaxnrs3tcznqsvwa,message,,src/cumulus/screens/PoolViewerScreen.tsx:232:25,rev1_40f7caf0cdcbecfe8351017401a0a13be8ed1efb68f4c8c47ab37edb6bb2c735
Built to {deal_size} Card with a per-card copy cap of {copy_cap}; {facet_drawn_count} of {facet_available_count} theme Tides were drawn.,Visible Pool Viewer diagnostic sentence describing a Tides-built pool. deal_size is the visible nonnegative safe-integer target pool size and governs Card number grammar. copy_cap is the visible nonnegative per-card maximum. facet_drawn_count and facet_available_count are separate visible nonnegative counts showing selected and available theme Tides; drawn can be zero and cannot exceed available.,Built to {deal_size} Card with a per-card copy cap of {copy_cap}; {facet_drawn_count} of {facet_available_count} theme Tides were drawn.,disclosure.dealSize.plural=one,translated,,copy_cap; deal_size; facet_available_count; facet_drawn_count,tx1_ubavzvyps7o2i66qllw6p6gylm,row1_pz3lpkwmfnor2hswqvybc62w64,message,,src/cumulus/screens/PoolViewerScreen.tsx:232:25,rev1_642588570408717910b491256a302fa043d3ec685708c4bc5d7b15fb65906dfd
Sort cards,Accessible name for the Pool Viewer selector that chooses the card property used for sorting.,Sort cards,,translated,,,tx1_vh3jfq47d3qrtsjgzgtuziizii,row1_mb63a62mk4x7rcjdsxp6vs7nxm,message,,src/cumulus/screens/PoolViewerScreen.tsx:271:32,rev1_6d12d05c97d2bee48e3ae6453470935c0ddbc54a21050e709a632fa4f79b0953
Sort ascending,Accessible command name for the compact Pool Viewer control that sorts in ascending order.,Sort ascending,,translated,,,tx1_vubikqtbdevpm7763ug6azn2cm,row1_k5vp4liw6iohpsnpdspn7uzlo4,message,,src/cumulus/screens/PoolViewerScreen.tsx:351:24,rev1_402f1f57d11741ec746246fe81cd3f5e084106c8b99b53d53fd789f16c08dfd3
Pool Viewer,Visible Pool Viewer heading for the Journey utility overlay.,Pool Viewer,,translated,,,tx1_vwhj6yqgwzk3lqfpibx7vp37mm,row1_e5ywmhv6qzsh2l5jkgwxy4kmn4,message,,src/cumulus/screens/PoolViewerScreen.tsx:386:25,rev1_bb388908104d683f8531de051659701c1663784e958c4eeca63f36719c5ccbcb
This run has no Tide decks.,Visible Pool Viewer empty-state sentence when the run has no Tide construction inputs.,This run has no Tide decks.,,translated,,,tx1_w2hr67qxvw7akms7dfntepxqj4,row1_gac4vc3qcde3hxdw2yttg6v5va,message,,src/cumulus/screens/PoolViewerScreen.tsx:317:26,rev1_782f4b5d78fab6f9ac044e1a745187f27f4f9c837535677983b5b2b0db34975f
All costs,Compact visible Pool Viewer Energy-cost filter option. The same source label is used for the no-filter option and the exact-cost zero-through-four options.,All costs,,translated,,,tx1_wrzxm5souzi7zkl7uoby2hefsy,row1_xv5rlgyoid4cmhx4eidclbjwra,message,,src/cumulus/screens/PoolViewerScreen.tsx:369:22,rev1_63e5b872e53265161b7e09318b28d810a08162b587a03515ef433fddc923f0f5
The active run pool is shown with its remaining copies.,Visible Pool Viewer disclosure sentence explaining that card quantities are the current remaining copies in the active run pool.,The active run pool is shown with its remaining copies.,,translated,,,tx1_wwy4tu7k3u3nrdzfwqzo52g6iy,row1_io4d4ipuzgwmgbv6b4rkx7xxyq,message,,src/cumulus/screens/PoolViewerScreen.tsx:245:25,rev1_8a73859024c58efceb391593af46235299740c7a9c3e7b70284b412c80a45dd8
Pool construction,Visible title of the Pool Viewer disclosure identifying the active pool-construction algorithm.,Pool construction,,translated,,,tx1_xils7sji7oefe2pdtg3bxqig7u,row1_vlnoio4ncogo7khusbftp447tu,message,,src/cumulus/screens/PoolViewerScreen.tsx:205:17,rev1_f40727a70eaa81646f64c360db52216b62cdddbe5d89ea8d6abd69f2bf2a6434
Run Pool,Visible Pool Viewer source-tab label for the current remaining draft pool.,Run Pool,,translated,,,tx1_ybapdjabxde7mvc5xqia7fk47m,row1_drxbo5egbfbsxk6bvq42i2prfi,message,,src/cumulus/screens/PoolViewerScreen.tsx:292:24,rev1_d4463ec70ed05733dde18ffeb6493b877e03868692d24dc32e2108182451c371
Number,Compact visible Pool Viewer sort-field option for authored card numbers.,Number,,translated,,,tx1_ytu7y7mdvgkgavum3njxidiqxi,row1_445ffs4fb34lu42cf7elcygpae,message,,src/cumulus/screens/PoolViewerScreen.tsx:403:31,rev1_53fe469ad70a007ab98e94ce0ec7da6b8f587eb320f2b7d09e1cb0aa8bfd3205
Search cards,Visible label for the Pool Viewer field that searches authored card names and rules text.,Search cards,,translated,,,tx1_yucd3vzpudc3bjxuu6cs5updoq,row1_6243mzi6ojsmmx5y3k3urqmtpe,message,,src/cumulus/screens/PoolViewerScreen.tsx:267:30,rev1_1d0d027c93a144150e7722b75e92de66a7db7f9c26142adeb40a8c9957b35e76
Pool Viewer,Visible Pool Viewer heading. The context selector distinguishes the floating Battle inspector from the Journey utility overlay.,Pool Viewer,"viewer_context.select[1]=""pool""",obsolete,,,tx1_5h52vusibknccni7hyvzmt5gke,row1_2wlzz4qx4jurkcotoddticdsyq,message,,src/cumulus/screens/PoolViewerScreen.tsx:299:26,rev1_ce416629acbaa3f050fd0f2d61cfdb10b73f6ea1dc64e19e347f0b8b90bcf10c
Pool Viewer,Visible Pool Viewer heading. The context selector distinguishes the floating Battle inspector from the Journey utility overlay.,Pool Viewer,viewer_context.select[2]=otherwise,obsolete,,,tx1_5h52vusibknccni7hyvzmt5gke,row1_mdkjby26hhy3i7hcfxghmz2osu,message,,src/cumulus/screens/PoolViewerScreen.tsx:299:26,rev1_2f4dd95d12da2a7cdac00d12ce85fd6918e22fbfc36f739ddde3ff1d63a69753
Battle Pool Viewer,Visible Pool Viewer heading. The context selector distinguishes the floating Battle inspector from the Journey utility overlay.,Battle Pool Viewer,"viewer_context.select[0]=""battle""",obsolete,,,tx1_5h52vusibknccni7hyvzmt5gke,row1_ycqpcdznpdx32r6mr6imwpfwda,message,,src/cumulus/screens/PoolViewerScreen.tsx:299:26,rev1_7be7dd814dd909afb87998ad0830bea2c93617916aee28b542d35526ad70a595
Number,"Compact visible Pool Viewer sort-field option. The sort selector is a stable card-property key: name, authored card number, Energy cost, card type, authored subtype, or Spark; the fallback preserves the existing label for an unrecognized future key.",Number,"sort_field.select[1]=""sort-card-number""",obsolete,,,tx1_5p3n2p63yh46gf5pqqyzhj63zu,row1_e3yzs3rwghahorropunsboebxm,message,,src/cumulus/screens/PoolViewerScreen.tsx:329:52,rev1_a3a17e58186e9bfa79f7c7201f80227b91aaa45d36c61d658751ee606e8a5416
Type,"Compact visible Pool Viewer sort-field option. The sort selector is a stable card-property key: name, authored card number, Energy cost, card type, authored subtype, or Spark; the fallback preserves the existing label for an unrecognized future key.",Type,"sort_field.select[3]=""sort-type""",obsolete,,,tx1_5p3n2p63yh46gf5pqqyzhj63zu,row1_h2pczymbcmguby5hwu2uo7fjzu,message,,src/cumulus/screens/PoolViewerScreen.tsx:329:52,rev1_54af0b934ef1793b03742c59dfdceee903a066a80bb3dd324b8133cf1b3243d6
Subtype,"Compact visible Pool Viewer sort-field option. The sort selector is a stable card-property key: name, authored card number, Energy cost, card type, authored subtype, or Spark; the fallback preserves the existing label for an unrecognized future key.",Subtype,"sort_field.select[4]=""sort-subtype""",obsolete,,,tx1_5p3n2p63yh46gf5pqqyzhj63zu,row1_icgedqynhqmenhy3j2kakogmfm,message,,src/cumulus/screens/PoolViewerScreen.tsx:329:52,rev1_8502ce0656532eff2165d395a07bc45752978842d8caeca026c71eab5d4c8d92
Name,"Compact visible Pool Viewer sort-field option. The sort selector is a stable card-property key: name, authored card number, Energy cost, card type, authored subtype, or Spark; the fallback preserves the existing label for an unrecognized future key.",Name,"sort_field.select[0]=""sort-name""",obsolete,,,tx1_5p3n2p63yh46gf5pqqyzhj63zu,row1_jkrtsderjsps4gtftgjdsfeuse,message,,src/cumulus/screens/PoolViewerScreen.tsx:329:52,rev1_5f5846003c93a0c2656c3b6991b5176180de76aadaf960bc81a8833bf13a2ea1
Spark,"Compact visible Pool Viewer sort-field option. The sort selector is a stable card-property key: name, authored card number, Energy cost, card type, authored subtype, or Spark; the fallback preserves the existing label for an unrecognized future key.",Spark,sort_field.select[6]=otherwise,obsolete,,,tx1_5p3n2p63yh46gf5pqqyzhj63zu,row1_knumim2epgcx572twcxk2fopwe,message,,src/cumulus/screens/PoolViewerScreen.tsx:329:52,rev1_0610f7a417bb73392a3a6e9976ba0f1fa63919b4da300b529dc94f6ccf69eb62
Spark,"Compact visible Pool Viewer sort-field option. The sort selector is a stable card-property key: name, authored card number, Energy cost, card type, authored subtype, or Spark; the fallback preserves the existing label for an unrecognized future key.",Spark,"sort_field.select[5]=""sort-spark""",obsolete,,,tx1_5p3n2p63yh46gf5pqqyzhj63zu,row1_kpbtw7n7ceovarc5b3zlymtlai,message,,src/cumulus/screens/PoolViewerScreen.tsx:329:52,rev1_6bbc36ccc4d97232d9fd8ed0ab5b992d0b0bc1cb50d1479d483a731632203abb
Cost,"Compact visible Pool Viewer sort-field option. The sort selector is a stable card-property key: name, authored card number, Energy cost, card type, authored subtype, or Spark; the fallback preserves the existing label for an unrecognized future key.",Cost,"sort_field.select[2]=""sort-cost""",obsolete,,,tx1_5p3n2p63yh46gf5pqqyzhj63zu,row1_lylz3oe6p6zkccj3fsdyt5dcaa,message,,src/cumulus/screens/PoolViewerScreen.tsx:329:52,rev1_d8d88e224cd8010b683b21fec3b88a64ff5276ec91a2dcf1cc6215f684212d2f
Pick History,"Visible Pool Viewer source-tab label. The source selector is the closed collection kind: run is the current remaining draft pool, tides is the Tide construction input, catalog is the full card catalog, and signature is the Dream Avatar's authored signature cards. The fallback preserves the existing label for an unrecognized future source.",Pick History,source.select[4]=otherwise,obsolete,,,tx1_6ypb723kv7bj3zq4esoekyo6wi,row1_2cw7elclbi6zfhl2x6djgqmcby,message,,src/cumulus/screens/PoolViewerScreen.tsx:127:20,rev1_bf8656a4478414509d8a0ef67d79595f0553f711baf5f70ca9a8d71a6126d20a
Run Pool,"Visible Pool Viewer source-tab label. The source selector is the closed collection kind: run is the current remaining draft pool, tides is the Tide construction input, catalog is the full card catalog, and signature is the Dream Avatar's authored signature cards. The fallback preserves the existing label for an unrecognized future source.",Run Pool,"source.select[0]=""run""",obsolete,,,tx1_6ypb723kv7bj3zq4esoekyo6wi,row1_pp7gno4wcbqoai2r2qbqersh7a,message,,src/cumulus/screens/PoolViewerScreen.tsx:127:20,rev1_c606b3d908eef5fbf47cbcae6ad85c3030cbb1a1a2ccdff3eda0fb38e283a964
Signature Cards,"Visible Pool Viewer source-tab label. The source selector is the closed collection kind: run is the current remaining draft pool, tides is the Tide construction input, catalog is the full card catalog, and signature is the Dream Avatar's authored signature cards. The fallback preserves the existing label for an unrecognized future source.",Signature Cards,"source.select[3]=""signature""",obsolete,,,tx1_6ypb723kv7bj3zq4esoekyo6wi,row1_pw5zj377ci4f722jl4q6txroni,message,,src/cumulus/screens/PoolViewerScreen.tsx:127:20,rev1_6b55038f514206176d9db2f531e8f2155add6ab7bff6845e4f0678a900f3a8ef
All Cards,"Visible Pool Viewer source-tab label. The source selector is the closed collection kind: run is the current remaining draft pool, tides is the Tide construction input, catalog is the full card catalog, and signature is the Dream Avatar's authored signature cards. The fallback preserves the existing label for an unrecognized future source.",All Cards,"source.select[2]=""catalog""",obsolete,,,tx1_6ypb723kv7bj3zq4esoekyo6wi,row1_sntzz736wtpthtrvjea4c4a3ne,message,,src/cumulus/screens/PoolViewerScreen.tsx:127:20,rev1_d96abf1620aa62a147c5ba877f26b37eb6b08d1698620a5aff763314a994c41c
Tide Decks,"Visible Pool Viewer source-tab label. The source selector is the closed collection kind: run is the current remaining draft pool, tides is the Tide construction input, catalog is the full card catalog, and signature is the Dream Avatar's authored signature cards. The fallback preserves the existing label for an unrecognized future source.",Tide Decks,"source.select[1]=""tides""",obsolete,,,tx1_6ypb723kv7bj3zq4esoekyo6wi,row1_ur4b5r3shaqfbqd7wilvn7azeq,message,,src/cumulus/screens/PoolViewerScreen.tsx:127:20,rev1_ee93e1b51d6bbd6894177e3515374d446ec919662882d6fcab9117146c6db812
No cards match the current filters.,Visible Pool Viewer empty-state sentence. The source selector identifies the selected semantic collection and determines why it is empty; the fallback preserves the existing explanation for an unrecognized future source.,No cards match the current filters.,"selected_source.select[2]=""catalog""",obsolete,,,tx1_f3xukguoqrihmzxloj2dy6wt5a,row1_67lpaqzpqzjxeyivmspbrfkwui,message,,src/cumulus/screens/PoolViewerScreen.tsx:138:30,rev1_c83018875790cd764b8e0245fc3e36fcb3f6099d1181820da3ea177642a19c8c
The replay record has no pick history.,Visible Pool Viewer empty-state sentence. The source selector identifies the selected semantic collection and determines why it is empty; the fallback preserves the existing explanation for an unrecognized future source.,The replay record has no pick history.,selected_source.select[4]=otherwise,obsolete,,,tx1_f3xukguoqrihmzxloj2dy6wt5a,row1_fam5j56hyrtwrq2sxgnwbjp55e,message,,src/cumulus/screens/PoolViewerScreen.tsx:138:30,rev1_2218bdf2fbf7395d732070b35374b3bf9610bedb97d3d281f0064aaf6f43389f
This avatar has no signature cards.,Visible Pool Viewer empty-state sentence. The source selector identifies the selected semantic collection and determines why it is empty; the fallback preserves the existing explanation for an unrecognized future source.,This avatar has no signature cards.,"selected_source.select[3]=""signature""",obsolete,,,tx1_f3xukguoqrihmzxloj2dy6wt5a,row1_oysdrnfcm2vzlw2ri6gmz5vywm,message,,src/cumulus/screens/PoolViewerScreen.tsx:138:30,rev1_37015b94b4b736bc2854a38d25676638dcf174d48033fc52faa0bcefe84f2ce6
No run pool cards are available.,Visible Pool Viewer empty-state sentence. The source selector identifies the selected semantic collection and determines why it is empty; the fallback preserves the existing explanation for an unrecognized future source.,No run pool cards are available.,"selected_source.select[0]=""run""",obsolete,,,tx1_f3xukguoqrihmzxloj2dy6wt5a,row1_sarremauej6gistexhlgnijw4i,message,,src/cumulus/screens/PoolViewerScreen.tsx:138:30,rev1_7356873b20901661cfa6a2e38c498a73692a87300bd87ade4fe1e720a4732a0a
This run has no Tide decks.,Visible Pool Viewer empty-state sentence. The source selector identifies the selected semantic collection and determines why it is empty; the fallback preserves the existing explanation for an unrecognized future source.,This run has no Tide decks.,"selected_source.select[1]=""tides""",obsolete,,,tx1_f3xukguoqrihmzxloj2dy6wt5a,row1_ycmlmuhruthykptfjsq4hfel3e,message,,src/cumulus/screens/PoolViewerScreen.tsx:138:30,rev1_83be10fe6bd9fe7ecb3dd68149bc1ad1c579aa131bde40ec286956b8b0833c38
Sort ascending,Accessible command name for the compact Pool Viewer sort-direction control. The direction selector is asc for ascending order or desc for descending order.,Sort ascending,"direction.select[1]=""asc""",obsolete,,,tx1_ilj7wwix2gyuhw6bnjoiimccta,row1_clxf62mnoeiycgb5rgwgnz7x3i,message,,src/cumulus/screens/PoolViewerScreen.tsx:190:32,rev1_23feed01402287a3b9789880da83389e80371a9eb4e9283744ad76120030fbcd
Sort ascending,Accessible command name for the compact Pool Viewer sort-direction control. The direction selector is asc for ascending order or desc for descending order.,Sort ascending,direction.select[2]=otherwise,obsolete,,,tx1_ilj7wwix2gyuhw6bnjoiimccta,row1_mhemkjxytgyzktpao6sd6hkpv4,message,,src/cumulus/screens/PoolViewerScreen.tsx:190:32,rev1_cf4af31dabb45f42a74c3d02980902c54878b426f54af49921e2cbc79bdab4ef
Sort descending,Accessible command name for the compact Pool Viewer sort-direction control. The direction selector is asc for ascending order or desc for descending order.,Sort descending,"direction.select[0]=""desc""",obsolete,,,tx1_ilj7wwix2gyuhw6bnjoiimccta,row1_r35aydz52xftnczfnwfforc6ge,message,,src/cumulus/screens/PoolViewerScreen.tsx:190:32,rev1_c7f5e88e3231aa199d8eefd080e8e64dfd58f18170c5b08f68f1cc85e84f07e8
All costs,Compact visible Pool Viewer Energy-cost filter option that disables the cost filter.,All costs,,obsolete,,,tx1_ka24wg564qwlrazgsh2veb44da,row1_xnv5ddjn5hwxqpti4v7wwdgvoi,message,,src/cumulus/screens/PoolViewerScreen.tsx:363:24,rev1_746f951853691198f93fdac591a5d0364ae139a4e2d1525e540f92ab1e4c6b48
