MTG Name,Rules,Cost,Spark,Fast?,Interrupt?,Type,Tags
Containment Construct,"When you discard a card, you may play that card from your void this turn.",2,1,FALSE,FALSE,Warrior,
,"Abandon this character: Return an event from your void to your hand.

▸Dawn: If this card is in your void, erode 3.",3,2,FALSE,FALSE,Survivor,
Life from the Loam,"Awakened, Veil 2●

2●, ☪, Discard a card: Return up to 2 characters with cost 2● or less from your void to your hand.",0,0,FALSE,FALSE,Other,
Ashnod's Altar,Abandon another character: Gain 2●.,3,1,FALSE,FALSE,Warrior,
"Krark, the Thumbless","Events cost you 1● more.

When you play an event, copy it.",2,2,FALSE,FALSE,Other,
,"When you play an event, foresee 1.",1,1,FALSE,FALSE,Other,
Dragon's Rage Channeler,"If there are 7 or more cards in your void, this character has +4✦ and gains awakened.",1,1,FALSE,FALSE,Other,
Reclamation Sage,▸Materialized: Dissolve an enemy with 2✦ or less.,3,2,FALSE,FALSE,Other,Removal
Lightning Bolt,Dissolve a character with 3✦ or less.,1,,TRUE,TRUE,Event,Removal
Marauding Mako,"When you discard a card, this character gains +1✦.",1,1,FALSE,FALSE,Other,
Fastbond,"Veil 2●

When you play a character with cost 2● or less, gain 1●.",1,1,FALSE,FALSE,Other,
Lion Sash,"1●, Banish a character from a player's void: Store 1⧗.

Support – Supported allies have +1✦ for each stored ⧗.",3,2,FALSE,FALSE,Warrior,
Ledger Shredder,"When you play your second card in a turn, draw a card, then discard a card.",2,2,TRUE,FALSE,Other,
Detective's Phoenix,"Support – Supported allies have +2✦ and have unstoppable.

Reclaim – 3●, Banish 3 cards from your void.",3,3,FALSE,FALSE,Other,
Staff of the Storyteller,"When you materialize a figment, store 1⧗.

1⧗, ☪: Draw a card.",2,2,FALSE,FALSE,Warrior,
Survival of the Fittest,"Veil 2● 

1●, Discard a character with cost X●: Discover a character with cost X●.",2,1,FALSE,FALSE,Other,
Time Walk,Take an extra turn after this one.,3,,FALSE,FALSE,Event,
Ramunap Excavator,"Once per turn, you may play a character with cost 2● or less from your void.",3,3,FALSE,FALSE,Other,
,"When you play an event, store 1⧗.

5⧗: Return all other characters to hand.",3,4,FALSE,FALSE,Other,
Thing in the Ice // Awoken Horror,"When you play an event, store 1⧗.

3⧗: This character gains +5✦.",2,2,FALSE,FALSE,Other,
"Arwen, Weaver of Hope","When you materialize a non-figment character, it gains +X✦ where X is this character's ✦.",4,1,FALSE,FALSE,Other,
Aether Spellbomb,"1●, Abandon this character: Return a character to hand.",1,1,FALSE,FALSE,Warrior,
Ratchet Bomb,"☪: Store 1⧗.

Abandon this character: Dissolve each character with cost less than or equal to the stored ⧗.",2,2,FALSE,FALSE,Warrior,
,▸Materialized: Banish a card from the opponent's void.,1,2,FALSE,FALSE,Spirit Animal,
Stonecloaker,"Unstoppable.

▸Materialized: Return another ally to hand.",2,5,TRUE,FALSE,Other,
Lotus Petal,Abandon this character: Gain 1●.,0,0,FALSE,FALSE,Spirit Animal,
,"☪: Gain 1● for each allied spirit animal.

Support – Supported spirit animals have +2✦.",3,2,FALSE,FALSE,Spirit Animal,
Elvish Archdruid,"Allied spirit animals have +1✦.

2●, ☪: Draw a spirit animal.",2,3,FALSE,FALSE,Spirit Animal,
Marionette Apprentice,"When an ally is dissolved, gain 1⍟.",2,1,FALSE,FALSE,Other,
,"This character gets +1✦ for each character in your void.

Abandon another character: Erode 1.",2,2,FALSE,FALSE,Survivor,Free Sacrifice
Fiend Artisan,"X●, ☪, Abandon another character: Discover a character with cost X●, then materialize it.",2,1,FALSE,FALSE,Other,Discover
Experimental Synthesizer,"▸Materialized, Dissolved: Draw a card with ephemeral.",1,1,FALSE,FALSE,Warrior,
Conjurer's Bauble,Abandon this character: Shuffle up to 3 cards from your void into your deck. Draw a card.,1,1,FALSE,FALSE,Warrior,
,"❖ – 1●: Move this character to an unoccupied character position.

Support – Supported characters have +2✦.",1,1,FALSE,FALSE,Warrior,
Cranial Plating,Support – Supported characters have +1✦ for each allied warrior.,2,2,FALSE,FALSE,Warrior,
,"▸Materialized: Draw 2 cards.

Reclaim – 3●, Banish 7 cards from your void.",5,4,FALSE,FALSE,Other,
Ox of Agonas,"▸Materialized: Discard your hand, then draw 3 cards.",4,5,FALSE,FALSE,Other,
Thraben Inspector,▸Materialized: Draw a warrior.,3,3,FALSE,FALSE,Warrior,
Viscera Seer,Abandon another character: Foresee 1.,1,1,FALSE,FALSE,Other,
Devoted Druid,"▸Dawn: Gain 1●.

Abandon this character: Gain 1●.

Reclaim 0●",2,1,FALSE,FALSE,Spirit Animal,
Pinnacle Monk // Mystic Peak,▸Materialized: Return an event from your void to your hand.,2,1,FALSE,FALSE,Other,
Liliana's Standard Bearer,Draw a card for each ally that dissolved this turn.,2,,TRUE,FALSE,Event,
Paradoxical Outcome,Return all but one allied character to hand. Draw a card for each character returned.,3,,TRUE,FALSE,Event,
Spell Pierce,Prevent an event unless the opponent pays 2●.,1,,TRUE,TRUE,Event,
Elvish Reclaimer,This character has +4✦ if there are three or more characters with cost 2● or less in your void.,1,1,FALSE,FALSE,Other,
,"When you abandon a character, gain 1⍟.",3,3,FALSE,FALSE,Other,
Mayhem Devil,"When you abandon a character, store 1⧗.

X⧗: Dissolve an enemy with X✦.",3,1,FALSE,FALSE,Other,Removal
Brazen Borrower // Petty Theft,"▸Materialized: You may pay 2● to return an enemy to hand.

❖ – 1●: Move this character to an unoccupied character position.",3,3,FALSE,FALSE,Other,
Zulaport Cutthroat,"When an ally is dissolved, gain 1⍟.",2,2,FALSE,FALSE,Other,
Brainstorm,"Draw 3 cards, then shuffle 2 cards from your hand into your deck.",1,,TRUE,TRUE,Event,
Faithless Looting,"Draw 2 cards, then discard 2 cards.

Reclaim 2●.",1,,FALSE,FALSE,Event,
Oona's Prowler,Discard a card: This character has +2✦ this turn.,2,2,FALSE,FALSE,Other,
Sea Gate Stormcaller,"▸Materialized: The next time you play an event with cost 2● or less this turn, copy it twice.",4,2,FALSE,FALSE,Other,
Ingenious Infiltrator,"▸Materialized: Return another ally to hand. Move this character to that ally’s position.

When an allied outsider scores ⍟, draw a card.",4,2,TRUE,FALSE,Outsider,
Ancestral Recall,Draw 3 cards.,1,,TRUE,TRUE,Event,
Incinerate,Dissolve an enemy with 3✦ or less.,2,,FALSE,FALSE,Event,Removal
,"Veil 2●

Abandon a character: Gain 1⍟.",2,2,FALSE,FALSE,Other,
Goblin Bombardment,"Abandon a character: Store 1⧗.

X⧗: Dissolve an enemy with X✦.",2,1,FALSE,FALSE,Other,Removal
Ethersworn Canonist,Players may only play one card per turn.,2,2,FALSE,FALSE,Warrior,
,"2●, Abandon 2 warriors: Draw a card.",2,2,FALSE,FALSE,Other,
"Sai, Master Thopterist","When you play a warrior, materialize a 1✦ warrior figment.",3,2,FALSE,FALSE,Other,
Vendilion Clique,▸Materialized: Discard a chosen card from the opponent's hand. They draw a card.,2,2,FALSE,FALSE,Other,
Mind's Desire,"For each card you have played this turn, draw a card with ephemeral. They cost 0● this turn.",5,,FALSE,FALSE,Event,
Safehold Elite,"When you reclaim this character, it gains -1✦.

Reclaim 0●",2,2,FALSE,FALSE,Other,
Scryb Ranger,"Awakened

☪, Return an ally to hand: Awaken an ally.",2,1,FALSE,FALSE,Other,
Snapcaster Mage,▸Materialized: An event in your void gains reclaim until end of turn.,2,2,FALSE,FALSE,Other,
,"Erode 4. You may put two of those cards into your hand.

When you discard this card, it gains reclaim 2● until end of turn.",4,,TRUE,FALSE,Event,
Anje's Ravager,"▸Challenge: Discard your hand, then draw 3 cards.",3,3,FALSE,FALSE,Other,
Engineered Explosives,Dissolve each character with cost X●.,"3
X",,FALSE,FALSE,Event,Removal
Repeal,Return a character with cost X● to hand. Draw a card.,X,,FALSE,FALSE,Event,
Scrapwork Mutt,"▸Materialized: You may discard a card to draw a card.

Relcaim 2●",2,2,FALSE,FALSE,Warrior,
Mystical Tutor,Discover an event.,1,,TRUE,FALSE,Event,Discover
,"☪, Discard an event: Draw an event.

This character gets +1✦ for each event in your void.",2,2,FALSE,FALSE,Other,
"Rielle, the Everwise","Once per turn, when you discard one or more cards, draw that many cards.",2,1,FALSE,FALSE,Other,
Prismari Command,"Choose One:
- Dissolve an enemy with 2✦ or less.
- Draw 2 cards, then discard 2 cards.
- Return a character with cost 2● or less from your void to hand.",3,,TRUE,FALSE,Event,Removal
Thassa's Oracle,"If you have no cards in your deck, you win the game.",1,,FALSE,FALSE,Event,
Putrid Goblin,"This character has all character types.

Reclaim 0●",2,1,FALSE,FALSE,Other,
Avacyn's Pilgrim,▸Dawn: Gain ●.,1,1,FALSE,FALSE,Spirit Animal,Elves
Impulse,Look at the top 4 cards of your deck. Draw one of them and shuffle the rest into your deck.,2,,FALSE,FALSE,Event,
,"Awakened

☪: Materialize two 1✦ ember figments with awakened. Abandon them at end of turn.",2,2,FALSE,FALSE,Other,
"Chandra, Acolyte of Flame",☪: An event with cost 3● or less in your void gains reclaim.,3,1,FALSE,FALSE,Other,
Lotus Bloom,Abandon this character: Gain 3●.,2,2,FALSE,FALSE,Warrior,
Abrupt Decay,Dissolve an enemy with cost 3● or less.,2,,TRUE,FALSE,Event,Removal
Chromatic Sphere,Abandon this character: Draw a card.,1,1,FALSE,FALSE,Warrior,
Wirewood Symbiote,"Awakened

☪, Return an ally to hand: Trigger the 'Dawn' ability of an allied spirit animal.",1,1,FALSE,FALSE,Spirit Animal,
Dreadhorde Arcanist,▸Dawn: An event in your void with cost less than or equal to this character's ✦ gains reclaim 0● until end of turn.,2,1,FALSE,FALSE,Other,
Retrofitter Foundry,☪: Materialize a 1✦ warrior figment.,1,1,FALSE,FALSE,Warrior,
Lodestone Golem,Warriors cost you 1● less.,4,4,FALSE,FALSE,Warrior,
Augur of Autumn,"With 3 or more allied characters, reveal the top card of your deck. You may play characters from the top of your deck.",3,3,FALSE,FALSE,Other,
,"Veil 2●

▸Dawn: Gain 1● for each allied figment.",2,2,FALSE,FALSE,Other,
Insidious Roots,"When a character card leaves your void, materialize a 2✦ shadow figment.",1,2,FALSE,FALSE,Survivor,
Heritage Druid,"When you materialize a spirit animal, store 1⧗.

3⧗: Gain 3●.",1,1,FALSE,FALSE,Spirit Animal,
Thoughtseize,Discard a chosen card from the opponent's hand.,1,,FALSE,FALSE,Event,Thoughtseize
Mishra's Workshop,The first warrior you play each turn costs 3● less.,1,1,FALSE,FALSE,Warrior,
Empty the Warrens,"For each card you've played this turn, materialize a 1✦ ember figment with awakened.

Reclaim 2●",3,,FALSE,FALSE,Event,
Krark-Clan Ironworks,Abandon a warrior: Gain 2●.,4,3,FALSE,FALSE,Warrior,
Spell Snare,Prevent a played card with cost 2● or less.,1,,TRUE,TRUE,Event,
Valakut Exporation,"When you materialize a non-figment character with cost 2● or less, draw a card with ephemeral.",2,2,FALSE,FALSE,Other,
Tidehollow Sculler,▸Materialized: Banish a chosen card from the opponent's hand until this character leaves play.,2,2,FALSE,FALSE,Survivor,
Chrome Mox,"To play this card, banish a card from hand.

Veil 3●

Materialized, Dawn: Gain 1●.",0,0,FALSE,FALSE,Spirit Animal,
Undead Butler,"▸Materialized: Erode 3.

▸Dissolved: Return a character from your void to your hand.",2,2,FALSE,FALSE,Survivor,
Spirited Companion,▸Materialized: Draw a card.,2,1,FALSE,FALSE,Warrior,
Goblin's Gambit,Choose a player. Discard X chosen cards from that player's hand. That player draws X cards.,X,,FALSE,FALSE,Event,
Springleaf Drum,"Once per turn, when you materialize a character, gain 1●.",1,2,FALSE,FALSE,Warrior,
Cabal Ritual,"Play this event only if there are 3 or more events in your void.

Gain 5●.",2,,FALSE,FALSE,Event,
"Yuriko, the Tiger's Shadow","▸Materialized: Return another ally to hand. Move this character to that ally’s position.

When an allied outsider scores ⍟, foresee 1, then draw a card. ",2,2,FALSE,FALSE,Outsider,
Firebolt,"Dissolve an enemy with cost 2● or less.

Reclaim 5●.",1,,FALSE,FALSE,Event,Removal
Ichor Wellspring,"▸Materialized, Dissolved: Draw a card.",2,1,FALSE,FALSE,Warrior,
Crop Rotation,"To play this card, abandon a character with cost 2● or less.

Discover a character with cost 2● or less and materialize it.",1,,FALSE,FALSE,Event,Discover
Banefire,"Choose One:
- Gain X⍟.
- Dissolve an enemy with X✦",X,,FALSE,FALSE,Event,Removal
Force of Negation,"Offering

Prevent a played event.",4,,TRUE,TRUE,Event,
Urza's Bauble,Abandon this character: Draw a card with ephemeral.,0,1,FALSE,FALSE,Warrior,
,"▸Materialized: Materialize a 1✦ survivor figment.

☪: Draw a card for each 3 allied survivors.",1,1,FALSE,FALSE,Survivor,Removal
Cryptbreaker,"☪, Discard a card: Materialize a 1✦ survivor figment.

☪, Abandon a survivor: Return a survivor from your void to your hand.",1,1,FALSE,FALSE,Survivor,
Ornithopter,(no ability),0,0,TRUE,FALSE,Other,
Fatal Push,"Play this card only if you abandoned a character this turn.

Dissolve an enemy with cost 3● or less.",1,,TRUE,TRUE,Event,Removal
,"When you erode one or more cards, draw that many cards.

Reclaim 1●. When you reclaim this character, banish it at end of turn.",4,5,FALSE,FALSE,Other,
Molten Gatekeeper,"When you materialize another character, gain 1⍟.",3,3,FALSE,FALSE,Other,
,"▸Night: If you have only one challenger, that character gets +3✦.",2,1,FALSE,FALSE,Other,
Ignoble Hierarch,▸Dawn: Gain 1●.,1,1,FALSE,FALSE,Spirit Animal,Elves
Mana Vault,"▸Materialized: Gain 3●.

▸Dawn: The opponent gains 1⍟.",1,0,FALSE,FALSE,Warrior,
Kitchen Finks,"▸Materialized: Erode 1.

Reclaim 0●",3,2,FALSE,FALSE,Other,
Path to Exile,Banish an enemy. The opponent gains 5⍟.,1,,TRUE,TRUE,Event,Removal
Grafted Wargear,"❖ – Abandon an ally: Move this character to the abandoned ally's position.

Support – Supported characters have +3✦.",3,2,FALSE,FALSE,Warrior,
Voldaren Bloodcaster // Bloodbat Summoner,"When a non-figment ally is dissolved, create 'Contemplation' in your hand.

(Contemplation: 1● event, ""Draw a card, then discard a card."")",2,2,FALSE,FALSE,Survivor,
Eternal Witness,▸Materialized: Return a card from your void to your hand.,3,2,FALSE,FALSE,Other,
Priest of Titania,☪: Gain 1● for each allied spirit animal.,2,1,FALSE,FALSE,Spirit Animal,
Skyclave Apparition,"▸Materialized: Banish an enemy with cost 4● or less.

When this character leaves play, the opponent draws a card.",3,2,FALSE,FALSE,Other,Removal
Squandered Resources,Abandon a character with cost 2● or less: Gain 1●.,2,2,FALSE,FALSE,Other,Free Sacrifice
Endurance,▸Materialized: Shuffle all cards in a player's void into their deck.,2,3,FALSE,FALSE,Spirit Animal,
Seething Song,Gain 5●.,3,,FALSE,FALSE,Event,
Phyrexian Tower,"▸Dawn: Gain 1●.

☪, Abandon a character: Gain 1●.",1,1,FALSE,FALSE,Other,
"Anax, Hardened in the Forge","When an non-figment ally is dissolved, materialize a 1✦ ember figment.

When an ember figment is dissolved, this character gains +1✦.",3,3,FALSE,FALSE,Other,
Ang Kapre,"Once per turn, if you have one or fewer cards in hand, you may play a character from your void.

When you discard your third card in a turn, materialize this character from your void.",3,3,FALSE,FALSE,Other,
Lurrus of the Dream-Den,"Once per turn, you may play a character with cost 2● or less from your void.",2,2,FALSE,FALSE,Other,
Duress,Discard a chosen event from the opponent's hand.,1,,FALSE,FALSE,Event,Thoughtseize
Elvish Visionary,▸Materialized: Draw a card.,2,1,FALSE,FALSE,Spirit Animal,
,"This character has all character types.

▸Dawn: Gain 1●.",1,1,FALSE,FALSE,Other,Elves
Masked Vandal,▸Materialized: Banish an enemy warrior.,2,2,FALSE,FALSE,Other,Removal
Thought Scour,Erode 3. Draw a card.,1,,FALSE,FALSE,Event,Cantrips
Inquisition of Kozilek,Discard a chosen card with cost 2● or less from the opponent's hand.,1,,FALSE,FALSE,Event,Thoughtseize
,"If this card is in your void, allied characters have +1✦.",4,3,FALSE,FALSE,Other,
,"When you materialize an ally, trigger its ""▸Dawn"" ability.",3,3,FALSE,FALSE,Other,
,"Offering

Allied characters have awakened.",4,2,FALSE,FALSE,Other,
Anger,"Allied characters have awakened.

When you discard or erode this card, it gains reclaim 0●.",5,2,FALSE,FALSE,Other,
Flare of Malice,"Offering

Dissolve an enemy.",4,,TRUE,TRUE,Event,Removal
"Zabaz, the Glimmerwasp","When an ally gains ✦, it gains an additional +1✦.

2●, ☪: Give an ally +1✦.",1,2,FALSE,FALSE,Warrior,
,"▸Challenge: You may discard a card to draw a card.

When you discard a card, this character gains +2✦ until end of turn.",3,2,FALSE,FALSE,Other,
Conspiracy Theorist,"2●, ☪, Discard a card: Draw a card.

When you discard a card, it gains reclaim until end of turn.",2,2,FALSE,FALSE,Other,Merfolk Looter
,"One per turn, when an allied warrior is dissolved, create a 1✦ warrior figment.",2,3,FALSE,FALSE,Warrior,
Oni-Cult Anvil,"When an allied warrior is dissolved, this character gains +1✦.

☪, Abandon a warrior: Gain 1⍟.",2,1,FALSE,FALSE,Warrior,
,Banish up to three cards from the opponent's void. Draw a card.,1,,TRUE,FALSE,Event,
Dreams of Steel and Oil,Banish a chosen character from the opponent's hand.,1,,FALSE,FALSE,Event,Thoughtseize
Cathartic Reunion,"To play this event, discard 2 cards.

Draw 3 cards.",2,,FALSE,FALSE,Event,
Young Pyromancer,"When you play an event, materialize a 1✦ ethereal figment.",2,1,FALSE,FALSE,Other,
Time Spiral,Shuffle your hand and void into your deck. Draw 5 cards. Gain 5●.,5,,FALSE,FALSE,Event,
Mishra's Bauble,Abandon this character: Reveal the opponent's hand. Draw a card with ephemeral.,0,0,FALSE,FALSE,Warrior,
The Gitrog Monster,"▸Dawn: Abandon a character. Erode 1.

When a character with cost 2● or less is put into your void, draw a card.",6,8,FALSE,FALSE,Other,
,"Once per turn, when you play a spirit animal, materialize a 1✦ spirit animal figment.",2,2,FALSE,FALSE,Spirit Animal,
Elvish Warmaster,❖ – 5●: Allied spirit animals gain +3✦ and vengeful this turn.,3,4,FALSE,FALSE,Spirit Animal,
Lethal Scheme,"This event costs 1● less for each allied character.

Dissolve an enemy.",4,,TRUE,TRUE,Event,Removal
Demonic Tutor,Discover a card with cost X●.,X,,FALSE,FALSE,Event,Discover
Nested Shambler,"▸Dissolved: Materialize X 1✦ survivor figments, where X is this character's spark.",1,1,FALSE,FALSE,Survivor,
Formidable Speaker,▸Materialized: You may discard a card to discover a character with cost greater than that card's cost.,3,3,FALSE,FALSE,Other,
"Thalia, Guardian of Thraben",Events cost 1● more.,2,2,FALSE,FALSE,Other,
,"☪, Abandon another character: Discover a character with cost 2● or less, then materialize it.",2,2,FALSE,FALSE,Survivor,Discover
Wight of the Reliquary,This character has +1✦ for each character in your void.,,,FALSE,FALSE,Survivor,
Memory Lapse,Prevent a played card. Put it on top of the opponent's deck.,2,,TRUE,TRUE,Event,
Vizier of Remedies,Cards you reclaim are not banished when they leave play.,2,1,FALSE,FALSE,Other,
Cauldron Familiar,"▸Materialized: Gain 1⍟.

Abandon a spirit animal: Materialize this character from your void.",1,1,FALSE,FALSE,Other,
Warren Soultrader,Abandon another character: Gain 1●.,3,1,FALSE,FALSE,Survivor,Free Sacrifice
,"Awakened

▸Challenge: This character gains +1✦.

use with another",1,1,FALSE,FALSE,Warrior,
"Gau, Feral Youth","One per turn, when you reclaim a card, gain X⍟ where X is this character's ✦. Then this character gains +1✦.",2,2,FALSE,FALSE,Other,
Mana Tithe,Prevent a played card unless the opponent pays 1●.,1,,TRUE,TRUE,Event,
,Draw X cards.,"2
X",,TRUE,TRUE,Event,
Expansion // Explosion,"The next time you play an event with cost 2● or less this turn, copy it.",2,,TRUE,FALSE,Event,
Unholy Heat,Dissolve an enemy with ✦ less that or equal to the number of cards in your void.,0,,TRUE,TRUE,Event,Removal
,Abandon a character with cost 2● or less: Gain 1⍟.,3,2,FALSE,FALSE,Other,Free Sacrifice
Zuran Orb,Abandon a character with cost 2● or less: Erode 1.,1,1,FALSE,FALSE,Other,Free Sacrifice
Blade of Unity,This character has +1✦ for each allied warrior.,2,2,FALSE,FALSE,Warrior,
Michiko's Reign of Truth // Portrait of Michiko,❖ – ☪: An ally gets +1✦ for each allied warrior until end of turn.,3,2,FALSE,FALSE,Warrior,
Tendrils of Agony,"This event cannot be prevented.

Gain 2⍟ for each card you have played this turn.",4,,FALSE,FALSE,Event,
Deathrite Shaman,"☪, Banish a card from the opponent's void: This character gains +1✦.",1,1,FALSE,FALSE,Other,
Undead Augur,"When an allied survivor is dissolved, draw a card.",2,2,FALSE,FALSE,Survivor,
Occult Epiphany,"Draw X cards, then discard X cards. Materialize a 1✦ ethereal figment for each event discarded.","1
X",,TRUE,FALSE,Event,
Spellskite,❖❖ – Abandon this character: An ally cannot be targeted by effects this turn.,2,1,FALSE,FALSE,Warrior,
Reflector Mage,▸Materialized: Return an enemy to hand. It costs 2● more.,3,2,FALSE,FALSE,Other,
Glimpse of Nature,"Until end of turn, when you play a character, draw a card.",1,,FALSE,FALSE,Event,
Satyr Wayfinder,▸Materialized: Erode 4. You may return a character with cost 2● or less from among those cards to your hand.,2,1,FALSE,FALSE,Other,
Makeshift Munitions,"Veil 3●

1●, Abandon another character: Store 1⧗.

Abandon this character: Gain X⍟ where X is the stored ⧗.",2,2,FALSE,FALSE,Other,
,"Draw a card.

Reclaim – Abandon a character.",1,,FALSE,FALSE,Event,Cantrips
Cabal Therapy,"Discard a chosen card from the opponent's hand.

Reclaim 1●.",2,,FALSE,FALSE,Event,Thoughtseize
Demand Answers,"To play this card, abandon a character or discard a card.

Draw 2 cards.",2,,TRUE,FALSE,Event,
Snap,Return a character to hand. Gain 2●.,2,,TRUE,TRUE,Event,
,"❖❖ – ☪, Abandon a character: An allied character gains +X✦ where X is the abandoned character's ✦.",4,2,FALSE,FALSE,Warrior,
Arcbound Ravager,❖❖ – Abandon a warrior: This character gains +1✦.,2,1,FALSE,FALSE,Warrior,
,"▸Materialized: Materialize a figment copy of 'Blade of Unity'.

(Blade of Unity: 2● warrior with ""This character has +1✦ for each allied warrior"".)",3,2,FALSE,FALSE,Warrior,
,5●: Erode 1. That card gains reclaim 0● until end of turn.,3,3,FALSE,FALSE,Other,
"Urza, Lord High Artificer","▸Dawn: Materialize a 1✦ warrior figment.

2●, ☪: Gain 1● for each allied warrior.",4,3,FALSE,FALSE,Warrior,
Steel Overseer,▸Dawn: Each allied warrior gains +1✦.,3,2,FALSE,FALSE,Warrior,
Stern Scolding,Prevent a played character with 2✦ or less.,1,,TRUE,TRUE,Event,
Counsel of Ember,"To play this event, discard X cards.

Draw X+1 cards.",1,,TRUE,FALSE,Event,
Vengevine,"When you play your second card in a turn, materialize this character from your void.",5,5,FALSE,FALSE,Other,
Opt,"Foresee 1.

Draw a card.",1,,TRUE,TRUE,Event,Cantrips
Priest of Forgotten Gods,"2●, ☪, Abandon two other characters: This character gains +2✦. Draw 2 cards.",2,2,FALSE,FALSE,Other,
,"Awakened

Abandon this character: Allied characters gain awakened this turn.",1,2,FALSE,FALSE,Warrior,
Bitter Reunion,"To play this event, discard a card.

Draw 2 cards.",2,,FALSE,FALSE,Event,
Murderous Redcap,"▸Materialized: Gain 1⍟.

Reclaim 0●",4,2,FALSE,FALSE,Other,
Arbor Elf,▸Dawn: Gain 1●.,1,0,FALSE,FALSE,Spirit Animal,Elves
Perilous Myr,▸Dissolved: Gain 2⍟.,2,2,FALSE,FALSE,Warrior,
"Nissa, Resurgent Animist","When you materialize a spirit animal, gain 1●.

When you materialize your second spirit animal in a turn, draw a spirit animal.",4,3,FALSE,FALSE,Spirit Animal,
Genesis Chamber,"When you play a character, materialize a 1✦ warrior figment.",3,3,FALSE,FALSE,Warrior,
Accursed Marauder,▸Materialized: Each player abandons a non-figment character.,2,2,FALSE,FALSE,Survivor,
Molten Vortex,Discard a character with cost 2● or less: Dissolve an enemy with cost 2● or less.,3,1,FALSE,FALSE,Other,Removal
Consider,"Foresee 1. Draw a card.

Reclaim 4●",1,,FALSE,FALSE,Event,
Undo,"Materialize all characters in your void which were discarded this turn.

When you discard this card, it gains reclaim 0● until end of turn.",2,,FALSE,FALSE,Event,
Faith's Reward,Materialize all characters in your void which dissolved this turn.,3,,FALSE,FALSE,Event,
Chain Lightning,"Gain 3⍟. If you reclaimed this card, gain 6⍟ instead.

Reclaim 4●",1,,FALSE,FALSE,Event,
,"▸Night: Draw a card, then discard a card unless you have an allied challenger.",2,2,FALSE,FALSE,Warrior,
Kaito Shizuki,"3●, ☪: Create a 1✦ outsider figment.

When an allied outsider scores ⍟, draw a card and gain ⍟ equal to its ● cost.",3,2,FALSE,FALSE,Other,
Ancient Grudge,Dissolve an enemy warrior.,1,,TRUE,FALSE,Event,Removal
Dark Confidant,▸Dawn: Draw a card. The opponent gains 2⍟.,3,3,FALSE,FALSE,Other,
Gaea's Cradle,"Awakened

1●, ☪: Gain 1● for each allied character.",1,1,FALSE,FALSE,Spirit Animal,
Giver of Runes,❖❖ – ☪: Another allied character cannot be targeted by effects this turn.,1,1,FALSE,FALSE,Other,
Bonus Round,"Until end of turn, when you play an event, copy it.",3,,FALSE,FALSE,Event,
The Meathook Massacre,Dissolve each character with X✦ or less.,"2
X",,FALSE,FALSE,Event,
Allosaurus Shepherd,"☪, 5●: Each allied spirit animal's ✦ becomes 7.",2,2,FALSE,FALSE,Spirit Animal,
Cruel Celebrant,"When an ally is dissolved, gain 1⍟.",2,1,FALSE,FALSE,Other,
Spellseeker,▸Materialized: Discover an event with cost 2● or less.,2,2,TRUE,FALSE,Other,Discover
Turnabout,Trigger the '▸Dawn' ability of each allied character. Awaken each allied character.,4,,FALSE,FALSE,Event,
